Relative_Time_[ms],RAB_Width_1_[AU],RAB_Width_5_[AU],RAB_Width_10_[AU]
9978,666,676,679
9998,669,676,679
10016,673,676,679
10036,665,676,679
10055,670,677,678
10076,673,677,678
10095,664,677,679
10115,669,677,679
10135,671,677,679
10155,665,677,679
10174,668,677,678
10193,670,677,678
10214,668,677,678
10233,666,678,678
10253,669,678,678
10273,670,678,678
10293,665,678,678
10312,669,678,677
10333,671,678,677
10352,663,678,677
10372,670,678,677
10391,672,678,677
10412,664,678,676
10431,670,678,676
10450,673,678,676
10471,668,678,676
10490,670,678,676
10510,672,678,676
10529,670,677,676
10550,670,677,675
10569,673,677,675
10589,672,677,675
10609,668,677,675
10629,673,677,675
10648,675,677,676
10669,667,677,676
10688,674,677,675
10707,675,677,675
10727,668,677,675
10747,673,677,676
10767,675,676,676
10786,670,676,676
10807,672,676,676
10826,674,676,676
10846,672,676,676
10866,670,676,676
10886,673,676,677
10905,673,676,677
10925,669,676,677
10945,673,676,677
10964,673,676,677
10984,666,676,678
,,676,678
,,676,678
,,676,679
,,676,679
,,676,679
,,676,679
,,677,679
,,677,679
,,677,679
,,677,679
,,677,679
,,677,679
,,677,679
,,677,679
,,677,679
,,678,679
,,678,679
,,678,679
,,678,679
,,678,678
,,678,679
,,678,678
,,678,678
,,678,678
,,678,677
,,678,677
,,678,677
,,679,677
,,678,677
,,678,677
,,678,676
,,678,676
,,678,676
,,678,676
,,678,676
,,678,676
,,678,676
,,678,675
,,678,675
,,678,675
,,678,675
,,677,676
,,677,676
,,677,675
,,677,675
,,677,675
,,677,676
,,677,676
,,677,676
,,677,676
,,677,676
,,676,676
,,676,676
,,676,677
,,676,677
,,676,677
,,676,677
,,676,677
,,676,677
,,676,678
,,676,678
,,676,679
,,676,679
,,676,679
,,676,678
,,676,678
,,677,678
,,677,679
,,677,679
,,677,679
,,677,679
,,677,679
,,677,678
,,677,679
,,677,679
,,677,679
,,678,678
,,678,678
,,678,678
,,678,678
